Users,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
537,18,Male,40.9,1.87,160,140,50,1.28,1261,HIIT,17.1,2.1,4,Intermediate  ,39.61
538,28,Male,87.3,1.51,190,168,56,2,1306,Yoga,32,2.3,4,Intermediate  ,14.46
539,26,Male,89.2,1.81,161,169,61,1.34,820,Strength,23.5,2.6,4,Beginner,27.63
540,30,Male,100.1,1.76,170,160,55,1.43,1694,HIIT,25.9,1.8,3,Intermediate  ,15.73
541,18,Female,80.8,1.85,188,141,74,1.19,838,Yoga,12.1,3.5,2,Beginner,14.81
542,58,Female,68.6,1.72,164,155,72,1.23,797,Yoga,27.2,2.5,2,Beginner,12.32
543,46,Female,45.7,1.96,168,137,64,1.38,1303,Strength,29.8,3.3,2,Intermediate  ,22.82
544,19,Female,55.2,1.71,172,136,74,1.93,670,Yoga,10,3.1,4,Beginner,20.85
545,31,Female,91.7,1.74,172,166,56,1.28,892,Yoga,19.8,3.1,4,Expert   ,12.32
546,47,Male,78.7,1.69,170,144,57,1,845,Yoga,24.5,1.9,4,Beginner,22
547,28,Female,40,1.57,165,169,68,1.04,669,Cardio,30.2,2.6,2,Intermediate  ,15.05
548,22,Male,47.1,1.87,165,132,68,0.72,674,Strength,31.7,3.2,2,Intermediate  ,34.98
549,23,Male,85.1,1.79,194,138,55,1.16,829,Strength,23.7,2.6,4,Intermediate  ,19.2
550,48,Female,87.9,1.5,180,164,68,1.41,974,Yoga,22.1,2.6,4,Beginner,13.04
551,24,Female,74.2,1.58,177,140,71,1.28,780,Strength,23.6,1.9,4,Intermediate  ,30.92
552,22,Male,49.6,1.87,190,137,54,1.6,1326,HIIT,30.5,1.9,5,Beginner,14.25
553,18,Male,63.9,1.86,161,147,51,1.83,1178,Strength,24,3.3,2,Beginner,24.05
554,54,Male,69.8,1.75,170,131,72,1.29,954,Strength,32,3.2,2,Beginner,21.66
555,42,Female,40.5,1.64,196,137,59,1.12,1150,Yoga,13.4,3.7,5,Intermediate  ,12.32
556,18,Female,43.8,1.96,193,142,50,1.03,1590,Strength,29.7,3.6,2,Expert   ,21.88
557,24,Female,45.7,1.63,199,144,71,0.94,1137,Yoga,19.6,1.8,2,Expert   ,12.32
558,25,Male,40.8,1.69,194,145,54,1.65,1353,HIIT,24.4,2.5,4,Beginner,22.31
559,59,Male,82,1.51,185,121,70,1.82,625,Strength,28.5,2.2,4,Expert   ,24.72
560,29,Female,60.9,1.92,192,151,67,1.5,1407,Cardio,18,3.5,5,Beginner,43.3
561,27,Male,55,1.68,169,136,64,1.07,1389,Cardio,24.6,2.1,4,Intermediate  ,18.54
562,34,Female,80,2,173,125,56,1.82,773,Strength,22.3,2.8,4,Intermediate  ,14.62
563,24,Male,44.3,1.65,189,129,56,1.9,972,Yoga,27.8,3.3,2,Beginner,15.86
564,24,Male,63.6,1.74,199,135,61,1.31,486,HIIT,26.1,2.2,2,Expert   ,25.85
565,29,Female,50.2,1.89,197,125,51,1.46,1286,Strength,27.6,3.3,2,Expert   ,15.27
566,58,Male,43.6,1.67,176,142,74,1.13,1089,HIIT,26.7,3.4,4,Intermediate  ,28.29
567,38,Male,60.5,1.72,187,139,50,1.34,1096,Yoga,20.9,3.7,4,Intermediate  ,25.58
568,39,Female,76.7,1.86,193,122,65,1.29,1770,Yoga,23.1,3.2,3,Beginner,17.75
569,18,Male,71.9,1.88,177,159,57,2,1571,Yoga,10,2.4,3,Intermediate  ,15.96
570,25,Female,59.2,1.84,168,160,51,1.53,1476,Yoga,25.1,3.7,4,Intermediate  ,13.81
571,27,Male,57.4,1.89,193,128,51,0.92,1121,Yoga,22.4,3.5,4,Intermediate  ,16
572,33,Male,69.5,1.75,178,131,74,1.51,1651,Strength,32.4,1.6,3,Expert   ,21.58
573,23,Male,47.4,1.96,161,142,65,1.18,441,Cardio,18.7,1.6,3,Beginner,21.34
574,33,Male,76.5,1.75,198,139,57,1.22,984,Strength,12.5,3.4,3,Beginner,32.82
575,18,Female,53.5,1.68,198,134,74,1.9,368,HIIT,28.1,3.1,5,Intermediate  ,23.57
576,25,Female,83.1,1.72,182,167,67,0.89,771,Strength,23.8,2.3,4,Beginner,12.32
577,47,Female,70.4,1.93,177,153,74,1.28,846,Strength,23.5,1.6,3,Intermediate  ,12.32
578,39,Female,50.3,1.94,164,160,66,0.58,992,Cardio,10,2.9,4,Beginner,14.72
579,20,Male,66.2,1.85,196,120,58,0.84,420,HIIT,24.9,1.5,4,Beginner,12.32
580,19,Female,51.4,1.84,169,152,58,1.14,1175,Cardio,20.9,3.5,5,Expert   ,16.95
581,58,Female,78.3,1.52,176,123,74,1.49,1063,Cardio,30.5,3.4,3,Intermediate  ,25.33
582,31,Female,79.4,1.56,171,126,69,1.42,963,Cardio,21.3,3.1,3,Expert   ,26.3
583,25,Male,72.5,1.78,177,142,67,1.99,1047,HIIT,27.4,3,4,Expert   ,12.32
584,21,Male,92.1,1.77,175,167,74,1.66,737,Cardio,25.3,3.3,4,Intermediate  ,17.16
585,55,Female,72.6,1.55,191,137,50,2,1084,Cardio,24.1,2.5,3,Intermediate  ,19.76
586,40,Male,76.7,1.68,177,133,57,0.89,984,Cardio,27.3,3.1,2,Expert   ,23.76
587,39,Male,91,1.73,165,169,72,1.49,813,Strength,23.3,3.4,2,Expert   ,22.08
588,26,Female,78.3,1.58,184,141,68,1.5,1436,Yoga,15,3.7,3,Beginner,28.61
589,26,Female,54.2,1.64,190,151,65,0.82,1184,Yoga,16.7,3.3,2,Beginner,19.39
590,19,Female,64.8,1.6,189,149,59,0.5,880,Yoga,22.3,1.9,4,Intermediate  ,21.61
591,25,Female,45.5,1.58,182,136,69,2,1137,Yoga,17.4,1.7,2,Intermediate  ,15.04
592,42,Female,59,1.89,175,142,63,1.25,1092,HIIT,27.7,3.5,5,Beginner,17.68
593,43,Female,89.2,1.73,163,135,67,1.51,1367,Yoga,14.5,3.5,3,Beginner,25.4
594,47,Female,108.3,1.67,176,169,69,1.07,1204,Yoga,27.6,3.7,2,Intermediate  ,13.44
595,48,Female,45.9,1.94,169,141,74,1.13,1507,Cardio,29.1,3.2,5,Intermediate  ,12.32
596,18,Male,107,1.75,177,155,71,2,645,Strength,27,3.2,5,Intermediate  ,27.94
597,39,Male,40.7,1.84,197,145,55,1.48,1128,Strength,25.3,1.5,4,Beginner,22.28
598,50,Female,88.5,2,181,146,72,1.33,1088,Cardio,11.9,2.3,4,Beginner,17.26
599,27,Female,62.5,1.67,186,129,65,1.2,1783,Strength,23.2,1.5,3,Intermediate  ,26.22
600,43,Female,79,1.73,186,158,55,1.2,1146,Cardio,25.2,3.6,4,Intermediate  ,19.64
601,27,Female,40,1.85,177,156,65,1.58,1014,Cardio,24,3.7,5,Expert   ,22.49
602,19,Male,51.8,1.6,176,159,72,1.14,574,Cardio,25.3,2,4,Intermediate  ,16.69
603,38,Female,89.3,1.58,184,135,58,1.58,995,HIIT,24,2.9,4,Expert   ,19.02
604,33,Male,40,1.75,185,125,54,2,870,Yoga,18.7,1.8,3,Beginner,17.77
605,50,Female,102.6,1.62,198,138,66,1.48,1149,HIIT,10,2.7,5,Intermediate  ,18.48
606,18,Male,69.2,1.62,164,167,62,1.5,1721,HIIT,25,2.3,5,Beginner,33.3
607,19,Male,75.3,1.67,166,130,58,1.22,928,HIIT,27.4,3.2,3,Intermediate  ,23.17
608,45,Male,45.9,1.51,195,142,57,1.64,303,Cardio,29.8,2.7,3,Beginner,12.32
609,59,Male,66.9,1.57,178,120,71,1.44,1153,Yoga,27.5,3.3,2,Intermediate  ,20.4
610,37,Male,44.2,1.5,194,154,74,1.11,612,Cardio,24,3.5,2,Intermediate  ,20.62
611,18,Female,46,1.79,177,140,68,2,1386,Cardio,23.6,3.2,3,Intermediate  ,18
612,18,Male,74.8,1.76,186,134,68,0.5,1783,Cardio,21.8,3.5,4,Expert   ,23.47
613,54,Male,46.3,1.62,161,138,60,1.03,1175,HIIT,32.2,2.5,4,Intermediate  ,19.44
614,24,Male,87.1,1.9,196,122,51,1.42,1153,Yoga,27.6,3.3,3,Beginner,36.55
615,43,Female,40,1.89,169,134,54,0.57,1267,HIIT,21.4,1.5,4,Intermediate  ,12.32
616,18,Female,67.9,1.81,194,137,73,1.19,1405,Cardio,33.8,3.2,2,Beginner,12.32
617,33,Male,49.7,1.82,179,169,71,1.55,968,Cardio,32.2,3.6,4,Expert   ,21.87
618,49,Male,88.4,1.75,192,145,74,1.27,493,Yoga,23.5,2.2,3,Beginner,12.42
619,35,Male,40.3,1.79,183,120,68,1.24,1420,Strength,14.5,1.7,5,Beginner,13.37
620,34,Male,72.1,1.78,167,163,58,0.84,536,HIIT,12.1,2.9,3,Intermediate  ,12.32
621,50,Female,103.8,1.54,185,169,56,2,766,HIIT,27.3,3.1,3,Beginner,12.32
622,36,Female,85.1,1.73,194,156,74,1.41,1024,Cardio,28.9,3.5,4,Expert   ,13.22
623,18,Male,81,1.64,175,169,74,1.99,878,Yoga,21.7,1.5,2,Expert   ,13.42
624,47,Female,74.1,1.87,168,123,70,0.95,1030,Yoga,14.8,1.5,3,Beginner,21.54
625,45,Female,47.9,1.71,194,169,70,0.78,772,HIIT,23.5,2.8,3,Intermediate  ,20.37
626,25,Male,113.3,1.75,187,155,74,1.44,564,Strength,22.1,1.6,3,Intermediate  ,21.36
627,23,Female,78.2,1.9,180,131,55,0.85,888,Strength,16.2,2.3,3,Beginner,29.89
628,25,Male,40,1.68,175,123,66,0.74,1783,Strength,27.9,3.5,3,Expert   ,14.27
629,23,Female,69.2,1.73,180,165,70,2,765,HIIT,23.3,1.8,4,Intermediate  ,21.96
630,48,Female,91.3,1.58,175,152,72,1.25,1576,Yoga,28.9,3.4,2,Intermediate  ,19.62
631,46,Male,68.2,1.88,172,167,70,1.41,723,Strength,17.2,2.6,5,Beginner,32.75
632,18,Female,45.1,1.86,182,169,64,0.92,1482,Strength,25.5,3.7,2,Expert   ,18.99
633,20,Male,70.5,1.65,179,144,74,0.6,1151,Yoga,15.5,3.5,2,Intermediate  ,12.32
634,18,Female,83.6,1.86,170,162,74,0.83,732,HIIT,22.7,2.8,2,Expert   ,24.77
635,37,Female,58,1.6,168,143,52,1.28,834,Strength,21,3.6,4,Intermediate  ,22.2
636,52,Female,40,1.91,194,151,59,1.96,535,HIIT,23.4,1.5,4,Intermediate  ,23.62
637,30,Female,40,1.62,166,164,73,1.23,1046,Yoga,25.2,3.7,5,Expert   ,14.53
638,23,Female,83.5,1.5,194,142,63,2,767,Yoga,25.8,2.9,4,Intermediate  ,12.32
639,49,Male,60.2,1.62,162,155,72,1.11,1105,Strength,23.4,3.1,3,Beginner,16.85
640,33,Female,40,1.79,189,144,67,2,1285,HIIT,27.2,2.6,3,Intermediate  ,15.69
641,48,Male,87.3,2,190,159,61,1.97,897,Yoga,10.7,3.5,5,Expert   ,18.2
642,49,Male,40,1.77,175,127,73,1.2,1109,Yoga,24.7,2.4,3,Expert   ,25.41
643,18,Male,50.9,1.73,170,137,58,1.43,804,Strength,23.5,3.7,2,Intermediate  ,17.61
644,55,Female,59.9,1.53,178,157,54,1.23,1044,HIIT,26.9,3.4,4,Beginner,31.33
645,44,Male,66.8,1.97,194,126,65,1.66,1382,HIIT,18.5,1.6,4,Intermediate  ,23.14
646,37,Male,75.8,1.63,192,131,64,0.98,921,Strength,26.5,1.5,4,Beginner,14
647,21,Female,51.6,1.5,175,149,66,2,863,Yoga,25.2,2,3,Beginner,24.7
648,27,Female,55.4,1.88,187,134,53,2,855,Strength,16.3,2.6,5,Beginner,14.33
649,23,Male,72.9,1.51,190,164,57,1.29,925,Strength,22.3,1.5,2,Beginner,40.08
650,30,Female,80.2,1.91,192,135,62,1.47,1461,Strength,16.5,3.7,2,Expert   ,28.49
651,45,Male,121.2,1.67,186,133,55,2,466,Cardio,16.7,3.4,4,Beginner,30.69
652,36,Female,100.2,1.93,199,166,60,0.98,1076,HIIT,24.6,2.7,4,Intermediate  ,16.49
653,45,Male,84.1,1.71,161,169,56,1.38,480,Yoga,22.4,3.4,3,Expert   ,38.83
654,51,Male,52,1.92,173,164,74,1.31,706,Cardio,25.7,1.5,2,Beginner,14.05
655,25,Male,70.7,1.7,165,160,53,0.99,808,HIIT,23.5,2.1,3,Beginner,18.29
656,52,Female,50.8,1.8,199,159,63,1.51,1153,HIIT,24.9,2.4,4,Intermediate  ,16.16
657,42,Female,77,1.63,185,136,68,1.07,1029,Cardio,29.2,1.5,5,Beginner,15.93
658,31,Female,50.1,1.69,185,169,64,1.68,1001,Strength,27.4,1.6,4,Beginner,22.3
659,18,Male,89.2,1.88,189,167,58,2,1126,Cardio,29.7,3.5,4,Intermediate  ,13.63
660,50,Male,59.1,1.74,181,156,51,1.01,985,Yoga,30.1,3.5,2,Expert   ,24.07
661,46,Female,67.5,1.76,160,150,74,1.43,577,Yoga,20,2.6,4,Intermediate  ,17.39
662,27,Female,41.4,1.69,191,169,56,1.99,647,Yoga,23.2,2.8,5,Intermediate  ,16.26
663,24,Male,95.5,1.57,181,158,67,1.47,1609,Cardio,32.5,2,4,Intermediate  ,26.3
664,18,Male,66.9,1.76,163,169,55,1.15,1018,Yoga,24.2,3,3,Beginner,16.52
665,18,Male,82.8,1.5,197,134,74,1.79,1009,Cardio,30.5,3.3,3,Expert   ,19.41
666,26,Male,79.7,1.64,194,148,55,2,1462,Yoga,21.8,3.2,4,Intermediate  ,26.9
667,33,Female,71.8,1.51,190,167,59,1.84,1321,HIIT,26.6,3.2,4,Expert   ,12.97
668,35,Male,73.4,1.57,169,138,67,1.14,977,Strength,32.4,3,4,Expert   ,25.05
669,54,Female,45.8,1.62,163,135,66,1.26,1703,Strength,15.2,1.6,4,Intermediate  ,17.99
670,44,Female,106.8,1.65,171,143,71,1.54,1295,Cardio,17.1,3.5,3,Expert   ,25.4
671,19,Male,59.8,1.7,181,120,73,1.54,1130,Cardio,29.6,3.5,3,Beginner,22.56
672,44,Male,52.5,1.65,174,169,51,1.95,1783,Cardio,29.4,2,2,Beginner,16.41
673,58,Male,56.5,1.76,180,139,74,2,1396,Yoga,24.1,3.4,2,Intermediate  ,28.26
674,18,Male,49.9,1.74,177,161,70,2,950,HIIT,23,3.4,4,Intermediate  ,17.53
675,18,Female,76.1,1.64,196,169,63,1.43,686,Cardio,34.8,1.5,3,Expert   ,33.24
676,28,Female,67.1,1.9,184,169,59,1.61,587,Yoga,20.8,2.7,3,Beginner,12.32
677,18,Female,53.9,1.69,187,169,56,1.34,752,Yoga,13.6,3.3,3,Intermediate  ,15.23
678,34,Female,79.3,1.65,181,149,64,1.4,501,HIIT,12,2.3,2,Beginner,24.84
679,18,Female,40,1.88,165,145,71,1.59,1121,Strength,22.6,3.4,2,Beginner,14.1
680,35,Male,75.7,1.74,189,136,74,1.7,854,HIIT,24,1.5,2,Intermediate  ,12.47
681,29,Male,82.5,1.79,190,132,69,0.9,664,Yoga,10,2.3,2,Beginner,34.85
682,23,Female,56.5,1.97,169,151,56,2,1380,Strength,28.6,2.6,3,Intermediate  ,13.2
683,27,Male,75.4,1.58,192,169,63,1.3,1386,Strength,16.9,3.6,3,Beginner,15.63
684,48,Male,59.6,1.78,181,152,53,1.65,1741,Strength,23.2,3.3,4,Beginner,12.32
685,29,Female,57.2,1.84,168,141,74,1.56,303,Yoga,16.8,2.4,5,Expert   ,29.68
686,39,Female,74.3,1.63,178,169,57,1.35,1376,Yoga,25.9,3.2,3,Expert   ,20.29
687,54,Male,63.8,1.92,188,131,57,0.98,1117,HIIT,20.7,1.6,5,Intermediate  ,26.75
688,20,Male,57.1,1.66,168,146,74,1.17,1040,Cardio,24.6,3.5,2,Intermediate  ,17.57
689,43,Male,68.8,1.79,188,122,73,1.56,350,HIIT,23.4,1.5,4,Beginner,14.27
690,55,Female,98.6,1.6,197,167,74,1.16,802,HIIT,22.1,2.9,4,Intermediate  ,14.29
691,36,Male,45.8,1.59,177,126,74,0.92,1221,Strength,32.9,3,3,Expert   ,30.03
692,53,Female,47.5,1.66,166,156,55,1.1,1766,HIIT,22.5,1.6,3,Beginner,32.14
693,52,Male,88,1.87,180,128,74,1.44,1058,Strength,32.2,1.7,4,Intermediate  ,27.54
694,43,Male,76.3,1.66,188,164,58,0.84,606,Strength,25.7,1.8,3,Beginner,28.19
695,31,Female,85.9,1.7,162,143,56,2,1455,Yoga,28,3.3,3,Expert   ,12.78
696,28,Male,93.7,1.77,192,142,57,1.45,1230,Cardio,14.8,3.6,2,Intermediate  ,23.62
697,26,Male,83.6,1.79,171,128,72,0.7,1247,Strength,25.4,3.2,3,Beginner,27.91
698,40,Male,79.9,1.51,175,169,64,1.44,1277,Yoga,26.2,1.5,5,Expert   ,14.09
699,45,Female,70.2,1.82,167,139,67,1.32,953,Strength,10,1.5,4,Intermediate  ,13.6
700,40,Female,44.2,1.7,161,160,64,1.71,979,Yoga,23.7,3.4,3,Intermediate  ,24.1
701,49,Male,90.6,1.78,181,130,63,1.27,1002,Strength,28.2,2.3,3,Intermediate  ,15.66
702,40,Female,56.8,1.54,166,167,71,1.06,1225,Yoga,27.6,1.7,4,Beginner,12.32
703,51,Female,48.7,1.5,168,140,58,0.93,1108,Cardio,27.3,3.2,2,Intermediate  ,12.32
704,41,Female,72.3,1.66,165,142,74,1.4,758,Cardio,25.6,3.6,4,Beginner,23.85
705,43,Female,68,1.78,183,120,58,2,1030,HIIT,22.8,1.5,4,Intermediate  ,17.25
706,44,Male,46.7,1.81,191,132,58,1.45,1113,Cardio,10,3.5,4,Expert   ,23.21
707,30,Male,59.4,1.87,190,122,50,1.77,1337,Yoga,25.5,2.8,4,Beginner,23.2
708,18,Female,75.9,1.7,183,151,51,1.01,1289,HIIT,30.1,3.2,2,Beginner,24.94
709,25,Female,64.6,1.51,194,127,55,1.4,1155,Cardio,26.9,3.5,2,Expert   ,17.74
710,45,Female,61.1,1.74,171,164,69,1.16,1019,Yoga,19.6,2.8,3,Beginner,16.37
711,47,Female,70.1,1.71,199,139,74,1.15,1238,Cardio,25.1,2.5,4,Beginner,19.95
712,28,Male,50.3,1.81,176,156,70,1.46,1143,Strength,31.8,1.9,3,Beginner,26.47
713,28,Male,59.9,1.7,169,163,65,1.26,1474,Yoga,11.7,2.9,4,Beginner,33.85
714,41,Male,52.8,1.68,192,132,59,1.47,1709,Cardio,29.6,3.5,4,Beginner,12.32
715,51,Female,62.7,1.73,198,140,50,1.98,1656,Strength,18.2,3.6,4,Intermediate  ,33.87
716,34,Male,76.4,1.84,164,161,69,1.2,978,Cardio,17,3,3,Beginner,21.69
717,52,Male,54.7,1.93,193,135,62,2,416,Cardio,31.9,3.2,2,Intermediate  ,34.32
718,18,Female,49,1.72,190,153,60,0.72,862,HIIT,24.4,2.8,4,Expert   ,17.26
719,30,Male,46.3,1.59,166,133,54,1.33,1001,Strength,23.8,2.2,2,Intermediate  ,17.74
720,35,Female,68.2,1.7,178,137,52,2,1181,HIIT,23.5,3.3,3,Intermediate  ,31.92
721,36,Female,85.1,1.67,184,131,53,1.03,608,Yoga,19.7,2.1,4,Intermediate  ,20.8
722,56,Female,63.7,1.74,161,158,65,1.94,1297,Yoga,28.6,3.2,3,Expert   ,14.53
723,34,Male,40,1.68,183,167,64,1.45,1642,Yoga,28.2,2.3,3,Intermediate  ,17.03
724,56,Male,64.7,1.78,199,129,62,1.1,941,HIIT,11.5,2.4,3,Intermediate  ,13.72
725,28,Male,56.5,1.73,198,136,74,1.23,991,Strength,14.5,3.6,5,Beginner,13.82
726,18,Male,56.9,1.74,180,149,59,0.89,1441,Cardio,22,3.2,2,Intermediate  ,19.82
727,18,Male,115.8,1.68,177,150,74,1.11,629,Strength,24.2,3.6,5,Intermediate  ,20.56
728,45,Male,46,1.76,165,135,69,1.05,1121,Yoga,24,1.5,5,Intermediate  ,28.92
729,47,Female,46.9,1.91,162,145,53,1.17,733,HIIT,23.8,1.5,3,Intermediate  ,14.88
730,49,Male,110.8,1.62,162,169,59,1.34,1783,Cardio,11.5,1.7,4,Intermediate  ,21.26
731,19,Male,97.4,1.75,173,144,56,1.27,917,HIIT,27.1,3.2,4,Intermediate  ,28.45
732,42,Male,117.7,1.71,198,149,74,0.89,943,Cardio,23.7,1.8,4,Beginner,26.89
733,28,Male,51.1,1.66,161,154,65,0.86,944,HIIT,31.1,3.3,5,Intermediate  ,19.67
734,44,Female,65,1.57,165,168,70,1.02,1232,Cardio,27.9,3.6,3,Beginner,32.75
735,24,Male,86.3,1.71,191,150,50,1.33,1166,Yoga,33.3,1.8,3,Beginner,18.7
736,39,Male,43.3,1.68,184,128,51,1.5,712,Cardio,13.2,1.5,2,Intermediate  ,17.06
737,52,Male,40,1.71,165,157,74,1.64,1001,HIIT,18.6,2.8,4,Intermediate  ,17.27
738,59,Female,72.8,1.65,172,165,55,1.17,1104,HIIT,15.4,3.4,3,Beginner,14.86
739,29,Female,65,1.77,194,152,66,1.34,715,HIIT,25.2,1.8,2,Beginner,23.25
740,46,Female,61.2,1.79,190,157,72,1.05,947,Strength,22.6,2.5,3,Beginner,17.28
741,27,Female,63.3,1.9,183,148,67,0.58,933,HIIT,20,3.2,4,Intermediate  ,22.45
742,40,Female,95.3,1.86,171,130,67,1.46,796,Strength,10,2,4,Beginner,22.23
743,35,Male,124.8,1.75,176,161,59,1.2,1240,Yoga,10,3.3,3,Intermediate  ,28.03
744,18,Male,75.4,1.97,177,136,67,0.76,1371,HIIT,29.7,3.1,2,Beginner,15.43
745,46,Male,49.8,1.91,160,146,65,2,1009,HIIT,29.4,3,3,Expert   ,12.84
746,18,Male,61,1.67,163,139,70,1.22,361,Strength,27.4,3.4,2,Expert   ,17.17
747,33,Female,73,1.69,196,135,67,1.93,881,Yoga,10,2.2,2,Intermediate  ,23.54
748,30,Male,88.2,1.72,191,155,54,1.28,911,Strength,27.2,2.2,4,Expert   ,15.42
749,34,Female,61.7,1.81,183,141,72,0.98,1443,HIIT,31.4,2.6,4,Expert   ,20.6
750,30,Male,45.4,1.73,197,151,50,1.27,1200,Cardio,23.1,3.6,4,Expert   ,17.33
751,22,Male,129.9,1.62,185,141,52,1.62,571,Strength,27.2,1.8,4,Intermediate  ,12.32
752,53,Female,71.9,2,191,161,74,1.6,1286,Cardio,29,3.7,5,Intermediate  ,12.32
753,44,Female,115.6,1.5,186,145,55,1.65,1075,HIIT,25.1,3.5,2,Beginner,18.41
754,26,Female,64.7,1.61,197,137,74,1.48,1088,HIIT,25.1,2.2,5,Intermediate  ,24.23
755,52,Male,58.2,1.71,182,161,50,1.49,1364,HIIT,28.7,3.5,3,Intermediate  ,21.89
756,49,Male,53.8,1.81,185,169,71,1.56,1345,Strength,25.3,2.4,4,Intermediate  ,19.34
757,26,Female,63.6,1.77,173,145,55,1.29,1586,Strength,18.9,2.8,3,Beginner,22.45
758,41,Female,65.7,1.57,170,169,71,1.13,708,Yoga,26.5,1.9,5,Beginner,12.32
759,59,Female,65.5,1.78,168,139,56,1.26,505,Strength,22.8,2,2,Intermediate  ,28.6
760,28,Female,40,1.81,194,164,57,1.57,1070,Yoga,21.3,3.4,3,Beginner,37.33
761,48,Male,40,1.67,169,168,57,2,833,Strength,17.8,2.2,3,Expert   ,12.32
762,54,Female,76.8,1.79,189,132,64,1.32,815,Strength,20.7,2.1,4,Beginner,20.66
763,26,Female,92.4,1.59,165,169,55,1.49,1783,HIIT,24.9,1.5,4,Intermediate  ,22.09
764,28,Male,88.5,1.64,160,163,50,1.25,1190,Cardio,31.7,3.2,3,Beginner,26.98
765,52,Female,54.3,1.73,185,137,57,2,1783,Yoga,20.5,3.1,3,Intermediate  ,22.75
766,23,Male,71.2,1.56,170,140,68,0.79,1014,Yoga,21.8,3.5,4,Beginner,13.25
767,26,Female,64.1,1.68,190,168,55,1.35,1175,Strength,28.1,3.4,2,Intermediate  ,39.84
768,18,Female,45.3,1.75,190,169,69,0.82,808,Cardio,28.4,3.7,2,Expert   ,26.5
769,21,Female,76,1.72,196,160,73,1.51,1306,Strength,28.8,3.5,3,Expert   ,12.32
770,41,Female,40,1.69,192,138,66,0.95,1556,Yoga,26,2.6,4,Beginner,19.94
771,30,Male,129.9,1.78,189,120,74,1.51,828,Yoga,20,1.5,2,Beginner,30.83
772,27,Female,62.9,1.73,187,157,54,0.99,569,Strength,27.9,2.4,4,Beginner,28.52
773,28,Male,69.3,1.99,183,154,62,1.97,827,Strength,14.4,1.5,4,Intermediate  ,18.72
774,38,Male,60.6,1.81,170,159,71,1.45,577,Cardio,24.8,3.7,3,Expert   ,13.74
775,59,Female,40,1.65,179,163,71,1.93,823,Cardio,23.4,3.4,3,Beginner,22.78
776,27,Female,75.2,1.96,172,132,61,1.22,829,HIIT,14.9,2.7,3,Beginner,21.52
777,25,Male,42.2,1.82,185,140,56,0.86,373,Strength,17.9,3.5,4,Intermediate  ,29.27
778,29,Female,57,1.7,168,160,61,0.74,976,Yoga,17.7,2.8,4,Expert   ,12.32
779,49,Male,128.5,1.96,196,138,68,0.5,1165,Cardio,26.1,3.4,2,Beginner,22.89
780,28,Female,45,1.8,187,162,74,1.82,1395,Strength,23.2,2.7,4,Expert   ,12.32
781,18,Female,78.5,1.81,190,127,74,1.38,466,Yoga,29.9,1.7,4,Expert   ,15.7
782,50,Female,49.4,1.91,188,131,74,1.11,963,Strength,17.6,2.7,2,Beginner,17.89
783,27,Female,50.3,1.66,180,131,74,1.12,677,Cardio,27.6,1.8,2,Intermediate  ,39.72
784,40,Female,61,1.88,171,138,62,1.38,1180,HIIT,24.9,2,2,Expert   ,12.32
785,59,Male,79.3,1.79,198,162,74,1.78,933,Strength,25.2,2.7,4,Intermediate  ,16
786,57,Female,40,1.62,190,123,57,1.43,1093,Yoga,25.2,3.2,5,Beginner,21.11
787,18,Male,48.6,1.95,175,152,57,1.87,862,Strength,23.1,1.6,3,Beginner,12.32
788,50,Female,102.2,1.65,198,157,64,1.64,1123,Yoga,17.3,3.3,4,Intermediate  ,17.77
789,48,Female,40,1.75,196,133,74,2,517,Cardio,12.8,2.5,4,Beginner,12.32
790,41,Female,69.6,1.63,193,169,55,1.46,1157,Strength,27.9,3.7,4,Beginner,32.29
791,18,Male,51.4,1.83,195,141,54,0.97,1145,HIIT,23.7,1.7,2,Expert   ,16.63
792,22,Male,96.9,1.8,163,132,56,0.94,748,HIIT,21.7,2.5,4,Intermediate  ,24.29
793,26,Female,64.3,1.7,192,140,65,1.51,1236,Yoga,33.9,3.6,3,Intermediate  ,39.07
794,42,Female,40,1.72,197,139,74,1.64,1143,Yoga,24,1.5,3,Intermediate  ,19.15
795,37,Male,40,1.92,194,128,72,1.89,1753,Strength,10,3.4,5,Beginner,15.24
796,30,Female,85.4,1.71,188,169,74,1.17,744,HIIT,21.6,3.6,4,Intermediate  ,20.15
797,33,Female,72.9,1.58,178,153,57,0.94,1139,HIIT,25.9,3.5,2,Beginner,18.97
798,25,Female,48.8,1.84,186,168,65,1.68,972,Strength,25,1.7,3,Intermediate  ,16.6
799,38,Male,53.6,1.7,188,126,73,0.97,1083,Yoga,30.4,3.4,4,Intermediate  ,12.32
800,47,Male,77.9,1.76,164,139,59,1.29,1233,Cardio,34,2.8,2,Beginner,15.38
801,35,Male,68.5,1.73,175,142,58,1.2,840,Cardio,19.3,2.1,2,Expert   ,12.32
802,32,Female,113.1,1.73,165,135,58,1.5,1081,Yoga,26.2,3.3,4,Beginner,12.32
803,25,Male,61.3,1.77,173,167,50,1.88,1760,Strength,35,3.1,4,Intermediate  ,17.69
804,38,Male,41.1,1.67,184,133,74,0.63,804,HIIT,25.6,2.8,5,Expert   ,14.26
